Finding_ID,Severity,Section,Review_Recommendation,Disposition,Reconciliation_Against_DR1.0,Implementation_in_DR1.1,Method_Version_Impact,Evidence_Files,Source_Status
H-06,HIGH,Ch 5,Gate entry/exit criteria + evidence package + owner; risk-register integration,ACCEPTED,Gate questions existed but enforcement detail was light.,"Added entry/exit/evidence/owner table, baseline freeze, and risk register.",None.,chapter_05.md; templates/RISK_REGISTER.csv; templates/PILOT_GATE_REGISTER.csv,EXPLICIT
H-07,HIGH,Ch 6,Aging-WIP policies; DoD evidence list per work-item type,ACCEPTED,Generic WIP/DoD existed.,Added aging policy and evidence-by-work-type DoD guidance.,None.,chapter_06.md,EXPLICIT
H-08,HIGH,Ch 7,AI model versioning/pinning; confidence thresholds tied to A-levels; rollback; human override,PARTIALLY_ACCEPTED,Versioning/override detail was incomplete. Directly using confidence to grant authority would violate authority-before-autonomy.,"Added provenance, conservative review thresholds, rollback, and human override; confidence can restrict, not grant, authority.",Preserves method semantics.,chapter_07.md; templates/MODEL_AGENT_REGISTRY.yaml; templates/AI_CONFIDENCE_DASHBOARD.yaml,EXPLICIT
H-09,HIGH,Ch 8,Evidence-sufficiency rubric; exception expiry; blast-radius bounds,ACCEPTED,Concepts existed but rubrics/bounds were not explicit.,"Added evidence rubric, exception expiry, and change-impact/blast-radius template.",None.,chapter_08.md; templates/EXCEPTION_REGISTER.csv; templates/change-impact-assessment.md,EXPLICIT
H-10,HIGH,Ch 9,"Jira custom fields, validators, automation rules, permission scheme",ACCEPTED,DR1.0 included some fields/guards but not full recommended set.,"Expanded Jira reference fields/guards, human-review trigger, unauthorized flag, and override rule.",Reference tooling only.,chapter_09.md; templates/jira_workflow_reference.yaml,EXPLICIT
H-11*,HIGH,Ch 9 / App B,GitHub evidence enforcement plus configuration-as-code backup/restore,ACCEPTED,"The report’s §15 table skips H-11, but §9 explicitly contains these recommendations.","Reconstructed transparently from §9; added GitHub controls, recovery, and Tooling Quick-Start.",Reference tooling only.,chapter_09.md; appendix_b_tools.md; templates/github_ruleset_reference.json,RECONSTRUCTED_FROM_SECTION_9
H-12,HIGH,Ch 10,Pilot success/failure + kill criteria; data-collection plan; sign-off,ACCEPTED,Readiness existed; outcome management was incomplete.,"Added success/hold/kill criteria, KPI plan, bounded duration, sign-off, and outcome decision.",None.,chapter_10.md; templates/PILOT_REPORT_TEMPLATE.md,EXPLICIT
H-13,HIGH,Ch 11,Metric ownership/alerting; quarterly KPI review; audit sampling methodology,ACCEPTED,Per-KPI provenance/ownership and sampling method were incomplete.,"Added ownership/provenance/alerting, quarterly review, sampling method, and log.",None.,chapter_11.md; templates/KPI_CATALOG.csv; templates/AUDIT_SAMPLE_LOG.csv,EXPLICIT
H-14,HIGH,Ch 12,COE/train-the-trainer concept; vendor/licensing management,ACCEPTED,Enterprise scaling lacked explicit enablement/vendor controls.,Added both with federated-governance guardrail.,None.,chapter_12.md; templates/MODEL_AGENT_REGISTRY.yaml,EXPLICIT
H-15,HIGH,Ch 13,Cadence alignment table; retrospective-to-policy workflow; method-versioning rules,ACCEPTED,Elements existed separately.,"Added cadence table, evidence threshold for policy change, annual audit, and versioning cross-reference.",Documentation/process clarification.,chapter_13.md; appendix_g_change_log.md,EXPLICIT
H-16,HIGH,App B,Add Tooling Quick-Start checklist,ACCEPTED,Absent.,Added 10-step reference quick-start and backup/restore pattern.,None.,appendix_b_tools.md,EXPLICIT
H-17,HIGH,New,Add Appendix H — Frequently Asked Questions,ACCEPTED,Absent.,Added 10-question adopter FAQ.,None.,appendix_h_faq.md,EXPLICIT
H-18,HIGH,App E,Add Glossary of AI-Agent Terminology + GAD_TERMINOLOGY_GLOSSARY.csv,ACCEPTED,Glossary lacked several requested AI-agent terms and machine form.,Expanded prose glossary and added CSV.,None.,appendix_e_glossary.md; templates/GAD_TERMINOLOGY_GLOSSARY.csv,EXPLICIT
M-01,MEDIUM,Structure,Renumber Chapter 0 to unnumbered Introduction,ACCEPTED,Outline used 0 while file itself was unnumbered.,Removed numeric 0 from outline navigation.,Editorial only.,outline.md,EXPLICIT
M-02,MEDIUM,Structure,Add Developer and Security/Risk personas; amend Governance path; roles primer for Executive,ACCEPTED,Reading paths were narrower.,"Added both personas, Introduction to Governance path, and Ch 3 to Executive path.",Editorial navigation only.,outline.md,EXPLICIT
M-03,MEDIUM,Structure,Add industry-framework mapping box,PARTIALLY_ACCEPTED,"Useful positioning, but a formal crosswalk requires authoritative external verification.",Added non-conformance positioning table and explicit verification caveat.,No compliance claim.,introduction.md,EXPLICIT
M-04,MEDIUM,App D,Add anti-pattern case study and per-case applicability boxes,ACCEPTED,Only positive/neutral cases existed.,Added autonomy-exceeded-evidence anti-pattern and applicability index.,None.,appendix_d_case_studies.md,EXPLICIT
M-05,MEDIUM,Introduction,Reading-time estimates; AI ethics/regulatory posture statement,ACCEPTED,Neither was explicit.,Added ethics/regulatory posture and generated chapter reading estimates.,None.,introduction.md; chapter_01.md–chapter_13.md,EXPLICIT
M-06,MEDIUM,Ch 4,Policy-as-code pointer; single authority for status integrity,ACCEPTED,Status semantics existed but ownership/policy pointer could be clearer.,Made Ch 4 authoritative for status integrity and added policy-as-code.,None.,chapter_04.md,EXPLICIT
M-07,MEDIUM,Ch 6,Cross-reference Ready criteria to checklist; throughput-vs-quality guidance,ACCEPTED,Ready/metrics existed.,Added checklist cross-reference and quality/throughput guidance.,None.,chapter_06.md,EXPLICIT
M-08,MEDIUM,Ch 4/7/8,Resolve escalation overlap,ACCEPTED,Escalation appeared in three chapters.,"Split trigger (Ch7), procedure (Ch8), ownership (Ch4).",Documentation architecture only.,chapter_04.md; chapter_07.md; chapter_08.md,EXPLICIT
M-09,MEDIUM,Templates,Add AI_CONFIDENCE_DASHBOARD.yaml,ACCEPTED,Absent.,Added reference pattern with no-authority rule.,None.,templates/AI_CONFIDENCE_DASHBOARD.yaml,EXPLICIT
M-10,MEDIUM,Templates,Add KPI_DASHBOARD.yaml,ACCEPTED,Absent.,Added KPI dashboard reference.,None.,templates/KPI_DASHBOARD.yaml,EXPLICIT
M-11,MEDIUM,Templates,Add CHANGE_IMPACT_ASSESSMENT.md,ACCEPTED,Absent.,Added kebab-case human-readable equivalent.,None.,templates/change-impact-assessment.md,EXPLICIT
M-12,MEDIUM,Templates,Add MODEL_AGENT_REGISTRY.yaml,ACCEPTED,Absent.,"Added model/agent identity, version, risk, lifecycle, and evidence registry.",None.,templates/MODEL_AGENT_REGISTRY.yaml,EXPLICIT
M-13,MEDIUM,Templates,Add UNAUTHORIZED_ACTION_REGISTER.csv and EXCEPTION_REGISTER.csv,ACCEPTED,Absent.,Added both registers.,None.,templates/UNAUTHORIZED_ACTION_REGISTER.csv; templates/EXCEPTION_REGISTER.csv,EXPLICIT
M-14,MEDIUM,Templates,"Add AUDIT_SAMPLE_LOG.csv, MATURITY_ASSESSMENT.md, PILOT_REPORT_TEMPLATE.md, ESCALATION_PROTOCOL.md",ACCEPTED,Absent.,Added all four equivalents.,None.,templates/AUDIT_SAMPLE_LOG.csv; templates/maturity-assessment.md; templates/PILOT_REPORT_TEMPLATE.md; templates/escalation-protocol.md,EXPLICIT
M-15,MEDIUM,Templates,Front-matter metadata block; global ID scheme; extend MANIFEST.sha256,PARTIALLY_ACCEPTED,Metadata need is valid; changing standard MANIFEST.sha256 format would reduce compatibility.,"Added template metadata, artifact index, global IDs, and MANIFEST.csv; kept MANIFEST.sha256 standard.",Compatibility-preserving.,templates/ARTIFACT_INDEX.csv; MANIFEST.csv; MANIFEST.sha256,EXPLICIT
M-16,MEDIUM,Ch 11,Leading indicators: AI confidence trend; evidence-attachment rate at Ready,ACCEPTED,Not named explicitly.,Added both and KPI rows.,None.,chapter_11.md; templates/KPI_CATALOG.csv,EXPLICIT
M-17,MEDIUM,Ch 11,Lagging indicators: change failure rate; unauthorized-action rate; anti-gaming note,ACCEPTED,Partially present conceptually.,Added indicators and anti-gaming section.,None.,chapter_11.md; templates/KPI_CATALOG.csv,EXPLICIT
M-18,MEDIUM,Ch 10,Differentiate pilot gates vs. Ch 5 stage gates,ACCEPTED,Potential ambiguity existed.,Added explicit distinction.,None.,chapter_10.md; chapter_05.md,EXPLICIT
M-19,MEDIUM,App A/C,Artifact index table; Change Approval and Method Change checklists,ACCEPTED,Index/checklists incomplete.,Rebuilt Appendix A and added both checklists.,None.,appendix_a_templates.md; appendix_c_checklists.md; templates/ARTIFACT_INDEX.csv,EXPLICIT
M-20,MEDIUM,App F,Explicit naming conventions; example traceability chains,PARTIALLY_ACCEPTED,"Naming guidance is useful, but renaming published DR1.0 structured files would break links.","Adopted prospective convention, retained legacy filenames, added traceability chains.",Compatibility-preserving.,appendix_f_reference_configurations.md,EXPLICIT
M-21*,MEDIUM,Source register integrity,Reconcile the review’s claimed 49 findings / 21 MEDIUM items with enumerated rows,REJECTED/NOT_APPLICABLE,"The source claims 49 findings and 21 MEDIUM, but enumerates only M-01 through M-20 and omits H-11. No substantive M-21 recommendation is present.",Preserved as a source-register discrepancy row instead of inventing a book recommendation. H-11 was separately reconstructed from §9.,No book-method impact.,EDITORIAL_REMEDIATION_REGISTER.md,SOURCE_REGISTER_DISCREPANCY
L-01,LOW,Editorial,Consistent heading numeration and extended cross-reference labels,ACCEPTED,Mostly consistent with a few navigation differences.,Unnumbered Introduction and expanded cross-references applied.,Editorial only.,outline.md; chapters/appendices,EXPLICIT
L-02,LOW,Editorial,Style-guide snippet,ACCEPTED,Style conventions were implicit.,Added style guide to Appendix G and README.,Editorial only.,appendix_g_change_log.md; README.md,EXPLICIT
L-03,LOW,Editorial,Define key terms at first use in prose,ACCEPTED,Glossary existed but first-use definitions varied.,Strengthened first-use explanations and expanded glossary.,Editorial only.,introduction.md; chapter_02.md; chapter_03.md; appendix_e_glossary.md,EXPLICIT
